Stanje na računu,Trajanje računa,Istorija kredita,Svrha uzimanja,Iznos kredita,Račun za štednju,Zaposlenost,Kamata – u procentima od tekućih prihoda,Pol i bračni staus,Žirant Ko-aplikant,Prebivalište (u godinama),Imovina,Godine starosti,Plaćanje u ratama,Stan/Kuća,Postojeći kredit u ovoj banci,Vrsta posla,Izdržavani: broj lica koji zavise od prihoda aplikanta,Telefon,Radnik stranac,Odobren kredit
<0 DM,6,kritičan račun,muzička tehnika/televizija,1169,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,4,poseduje nekretninu,67,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,48,drugi krediti plaćani na vreme,muzička tehnika/televizija,5951,<100 DM,1<= < 4 godina,2,"žensko, udata/razvedena",nema,2,poseduje nekretninu,22,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,12,kritičan račun,obrazovanje,2096,<100 DM,4<= <7 godina,2,"muško, neoženjen",nema,3,poseduje nekretninu,49,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,2,nema,da,Da
<0 DM,42,drugi krediti plaćani na vreme,nameštaj,7882,<100 DM,4<= <7 godina,2,"muško, neoženjen",žirant,4,ulaganje u nekretnine/životno osiguranje,45,nema,živi besplatno,1,zaposlen i ima zvanično obrazovanje,2,nema,da,Da
<0 DM,24,kašnjenje sa uplatama,automobil (nov),4870,<100 DM,1<= < 4 godina,3,"muško, neoženjen",nema,4,nema,53,nema,živi besplatno,2,zaposlen i ima zvanično obrazovanje,2,nema,da,Ne
nema računa u ovoj banci,36,drugi krediti plaćani na vreme,obrazovanje,9055,nema račun za štednju,1<= < 4 godina,2,"muško, neoženjen",nema,4,nema,35,nema,živi besplatno,1,nema zvanično obrazovanje: ima stalan posao,2,ima,da,Da
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,nameštaj,2835,500 <= < 1000 DM,>=7 godina,3,"muško, neoženjen",nema,4,ulaganje u nekretnine/životno osiguranje,53,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,36,drugi krediti plaćani na vreme,automobil (polovan),6948,<100 DM,1<= < 4 godina,2,"muško, neoženjen",nema,2,automobil ili drugo,35,nema,stanarina,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
nema računa u ovoj banci,12,drugi krediti plaćani na vreme,muzička tehnika/televizija,3059,>= 1000 DM,4<= <7 godina,2,"muško, razveden",nema,4,poseduje nekretninu,61,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
0 <= <200 DM,30,kritičan račun,automobil (nov),5234,<100 DM,nezaposlen,4,"muško, oženjen/udovac",nema,2,automobil ili drugo,28,nema,poseduje,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,nema,da,Ne
0 <= <200 DM,12,drugi krediti plaćani na vreme,automobil (nov),1295,<100 DM,<=1 godina,3,"žensko, udata/razvedena",nema,1,automobil ili drugo,25,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
