Kamata – u procentima od tekućih prihoda,Prebivalište (u godinama),Postojeći kredit u ovoj banci,Izdržavani: broj lica koji zavise od prihoda aplikanta,Odobren kredit,Iznos kredita,Vrsta posla_nema zvanično obrazovanje: ima stalan posao,Vrsta posla_nezposlen/nema zvanično obrazovanje,Vrsta posla_radi u menadžmentu/samo-zaposlen/visoko obrazovanje,Vrsta posla_zaposlen i ima zvanično obrazovanje,Telefon_ima,Telefon_nema
4,4,2,1,1,1169,0,0,0,1,1,0
2,2,1,1,0,5951,0,0,0,1,0,1
2,3,1,2,1,2096,1,0,0,0,0,1
2,4,1,2,1,7882,0,0,0,1,0,1
3,4,2,2,0,4870,0,0,0,1,0,1
2,4,1,2,1,9055,1,0,0,0,1,0
3,4,1,1,1,2835,0,0,0,1,0,1
2,2,1,1,1,6948,0,0,1,0,1,0
2,4,1,1,1,3059,1,0,0,0,0,1
4,2,2,1,0,5234,0,0,1,0,0,1
3,1,1,1,0,1295,0,0,0,1,0,1
3,4,1,1,0,4308,0,0,0,1,0,1
1,1,1,1,1,1567,0,0,0,1,1,0
4,4,2,1,0,1199,1,0,0,0,0,1
2,4,1,1,1,1403,0,0,0,1,0,1
4,2,1,1,0,1282,1,0,0,0,0,1
4,4,2,1,1,2424,0,0,0,1,0,1
2,3,3,1,1,8072,0,0,0,1,0,1
4,2,1,1,0,12579,0,0,1,0,1,0
3,2,1,2,1,3430,0,0,0,1,1,0
4,4,3,1,1,2134,0,0,0,1,1,0
2,3,1,2,1,2647,0,0,0,1,0,1
1,3,2,2,1,2241,1,0,0,0,0,1
3,4,1,1,1,1804,0,0,0,1,0,1
2,1,2,1,1,2069,0,0,0,1,0,1
1,2,1,1,1,1374,1,0,0,0,1,0
4,4,1,1,1,426,1,0,0,0,0,1
3,3,2,1,1,409,0,0,0,1,0,1
3,2,1,1,1,2415,0,0,0,1,0,1
3,4,2,1,0,6836,0,0,0,1,1,0
3,3,1,1,1,1913,0,0,0,1,1,0
2,2,1,1,1,4020,0,0,0,1,0,1
2,2,2,1,1,5866,0,0,0,1,1,0
4,4,1,1,1,1264,1,0,0,0,0,1
4,1,1,1,1,1474,0,0,1,0,1,0
4,2,2,1,0,4746,1,0,0,0,0,1
1,3,1,1,1,6110,0,0,0,1,1,0
4,2,1,1,0,2100,0,0,0,1,0,1
2,2,1,1,1,1225,0,0,0,1,1,0
4,3,1,1,1,458,0,0,0,1,0,1
4,2,1,1,1,2333,0,0,1,0,0,1
3,1,1,1,1,1158,0,0,0,1,1,0
2,4,1,2,1,6204,1,0,0,0,1,0
1,4,2,1,1,6187,0,0,0,1,0,1
4,4,2,1,0,6143,1,0,0,0,0,1
4,4,2,1,1,1393,0,0,1,0,0,1
4,4,1,1,1,2299,0,0,0,1,0,1
1,2,1,1,1,1352,0,1,0,0,1,0
1,4,2,1,1,7228,1,0,0,0,0,1
4,2,1,1,1,2073,0,0,0,1,0,1
4,2,1,1,1,2333,1,0,0,0,0,1
1,2,2,1,1,5965,0,0,1,0,1,0
3,2,1,1,1,1262,0,0,0,1,0,1
2,1,1,1,1,3378,0,0,0,1,1,0
4,4,2,1,0,2225,0,0,0,1,1,0
1,2,1,2,1,783,1,0,0,0,0,1
2,1,1,1,0,6468,0,0,1,0,1,0
2,2,2,1,1,9566,0,0,0,1,0,1
3,2,1,1,1,1961,0,0,1,0,0,1
4,4,2,1,0,6229,1,0,0,0,1,0
2,1,1,1,1,1391,0,0,0,1,1,0
4,4,2,1,1,1537,0,0,0,1,1,0
4,4,1,1,0,1953,0,0,1,0,1,0
2,2,1,1,0,14421,0,0,0,1,1,0
4,4,1,1,1,3181,0,0,0,1,1,0
4,4,4,2,1,5190,0,0,0,1,1,0
2,2,1,1,1,2171,0,0,0,1,0,1
4,1,1,1,1,1007,0,0,0,1,0,1
4,4,1,1,0,1819,0,0,0,1,1,0
